step,total_loss,bc_loss,q_loss,policy_loss,diffusion_loss,vae_loss
60000,-443.6839,0.8214,268.8859,-3808.5518,0.5183,1.9479
31000,154270.1406,1.9244,39017.8867,-4995.2891,0.6903,941.5719
61000,194.0202,0.8117,455.8619,-4083.9517,0.5159,1.9544
32000,126974.375,1.9332,32138.9551,-4560.0728,0.6074,1171.2292
62000,2793.9919,0.7587,1110.578,-4130.6289,0.5135,1.9151
33000,93604.1484,1.9313,23665.0176,-3893.1804,0.5816,2465.2401
63000,-226.4171,0.8294,345.3286,-4029.9136,0.5219,1.9704
34000,54202.5078,1.9474,13583.9082,-2848.3066,0.56,4989.2415
64000,1461.2939,0.7752,812.9644,-4486.4072,0.5152,1.9167
35000,561.5588,1.9291,96.8446,-35.4715,0.3699,901.4149
36000,28.9092,1.9173,6.6544,-20.8379,0.5289,12.1439
65000,1032.9896,0.7464,707.7019,-4504.3218,0.5378,1.9363
37000,8.4247,1.922,1.7176,-17.5813,0.5079,1.9557
66000,-527.7186,0.7684,309.0917,-4420.1699,0.5286,1.9027
38000,2.111,1.3343,0.7118,-17.5183,0.524,2.0501
67000,3883.166,0.7764,1404.6272,-4348.3984,0.5293,1.9093
39000,0.0085,1.0657,0.4915,-17.7901,0.4993,1.9813
68000,1137.4426,0.8116,748.9778,-4656.5859,0.5267,1.9639
40000,7.8416,1.6586,2.2557,-21.932,0.5573,1.9995
69000,296.0734,0.7831,551.9594,-4789.5303,0.5276,1.9393
41000,1.0796,1.3511,0.6793,-19.9196,0.528,1.9897
70000,1595.2258,0.8157,920.0332,-5222.6484,0.5009,1.9435
42000,0.3858,1.2099,0.6832,-20.2922,0.5285,2.0076
71000,3771.4233,0.7619,1439.5083,-4976.3901,0.5169,1.9095
43000,0.9495,1.1857,0.8836,-20.6474,0.5343,1.9836
72000,269.7689,0.7827,595.694,-5292.6445,0.5357,1.9225
44000,1.2563,1.1519,1.0085,-20.7124,0.5058,1.9697
73000,-451.1546,0.8407,405.2899,-5191.4785,0.519,1.9795
45000,0.7034,1.1629,0.8163,-20.3483,0.5312,1.9731
74000,-519.5681,0.7565,445.2218,-5761.0156,0.5353,1.9478
46000,6.266,1.2687,2.3764,-23.0781,0.52,1.9843
75000,478.5867,0.8076,713.8114,-5951.9639,0.5149,1.9073
47000,8.4949,1.2931,2.8334,-22.3318,0.5311,1.9522
48000,5.4507,1.2213,2.3684,-24.6002,0.5309,2.0056
76000,-727.2796,0.7883,375.4443,-5582.7646,0.5114,1.9212
49000,6.6021,1.2181,2.9043,-27.0578,0.5365,1.9948
77000,10870.0908,0.7763,3347.2598,-6307.4102,0.5216,1.9457
50000,4.2737,1.0813,2.5026,-27.4272,0.5254,1.9185
78000,512.1816,0.8353,710.2022,-5832.2246,0.5341,1.937
51000,4.555,1.0708,2.7024,-28.6796,0.5262,2.0398
79000,840.9083,0.7703,819.7338,-6105.0459,0.5279,1.9125
52000,6.7938,1.2845,2.2756,-20.9962,0.539,2.0638
80000,3543.9912,0.7976,1545.5758,-6606.0049,0.5125,1.9351
53000,1.4684,1.0767,1.1098,-20.5255,0.5246,2.0403
81000,4862.5273,0.8756,1850.3911,-6358.561,0.5023,1.9136
54000,-0.0142,1.0107,0.7644,-20.1053,0.515,2.0643
82000,-1072.3545,0.7531,405.303,-6743.7236,0.5262,1.9214
55000,-0.8036,0.9278,0.5562,-19.195,0.5237,2.0735
83000,1113.5138,0.8165,951.2559,-6739.1792,0.5098,1.9317
56000,-1.127,0.8695,0.4825,-18.6742,0.5292,2.0271
84000,22205.8711,0.7895,6221.6865,-6712.373,0.5261,1.9517
57000,-1.2928,0.8557,0.3771,-17.915,0.539,2.0155
85000,6097.521,0.8143,2219.356,-6960.1597,0.5142,1.9495
58000,-0.2313,0.9235,0.5355,-17.5329,0.5465,1.9951
86000,15419.9707,0.7578,4587.0322,-7330.2041,0.5139,1.8938
59000,1.0838,0.9494,0.785,-16.9382,0.5134,2.0406
60000,-0.3853,0.9047,0.6338,-18.6885,0.5255,2.0532
87000,9627.9482,0.8403,3145.8062,-7398.877,0.5274,1.9302
61000,-1.1711,0.8861,0.4521,-18.6535,0.5336,2.0186
88000,51525.8945,0.7307,13680.5625,-8000.4658,0.524,1.921
62000,-1.8754,0.8329,0.4134,-19.4376,0.514,2.0013
89000,-698.7362,0.8615,594.8546,-7706.2866,0.5249,1.9471
63000,-2.0317,0.7873,0.3893,-19.179,0.5363,1.986
90000,2058.032,0.8396,1281.4412,-7679.9888,0.5153,1.9471
64000,-2.4065,0.7465,0.3291,-19.0832,0.5244,2.0003
